City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Road Town,VG,18.4167,-64.6167,82.49,74,20,14.97,few clouds
125,Salvador,SV,13.8333,-88.9167,77.4,94,100,2.89,overcast clouds
126,Antsohihy,MG,-14.8796,47.9875,70.66,58,47,12.91,scattered clouds
127,Pingliang,CN,35.5392,106.6861,78.85,27,6,1.43,clear sky
128,Severo-Kurilsk,RU,50.6789,156.125,48.74,76,47,8.43,scattered clouds
129,Sinjar,IQ,36.3209,41.8754,80.94,20,0,8.3,clear sky
130,Udachnyy,RU,66.4167,112.4,78.69,38,63,7.11,broken clouds
131,Sagvag,NO,59.7786,5.3961,51.71,86,100,17.65,overcast clouds
132,Kodiak,US,57.79,-152.4072,51.31,82,90,11.5,mist
133,Aksu,CN,41.1231,80.2644,75.6,26,2,4.92,clear sky
134,Hilo,US,19.7297,-155.09,82.27,73,90,10.36,overcast clouds
135,Banda Aceh,ID,5.5577,95.3222,81.03,71,87,12.39,overcast clouds
136,Chudniv,UA,50.052,28.1175,63.48,92,5,2.64,clear sky
137,Muisne,EC,0.6,-80.0333,76.14,86,92,6.98,overcast clouds
138,Irtyshskiy,RU,58.3333,68.1333,51.6,70,100,2.08,overcast clouds
139,Pochutla,MX,15.7432,-96.4661,83.25,84,97,2.46,overcast clouds
140,Kokkarion,GR,37.7764,26.8939,76.93,68,6,1.01,clear sky
141,Talaya,RU,61.3833,152.75,59.45,41,100,8.72,overcast clouds
142,Mount Isa,AU,-20.7333,139.5,73.17,21,100,11.5,overcast clouds
143,Flinders,AU,-34.5833,150.8552,62.38,80,5,1.01,clear sky
144,Beyneu,KZ,45.3167,55.2,81.19,34,0,12.93,clear sky
145,Hermanus,ZA,-34.4187,19.2345,59.9,81,38,20.33,scattered clouds
146,Raudeberg,NO,61.9875,5.1352,50.67,92,83,11.16,broken clouds
147,Elizabeth City,US,36.2946,-76.2511,87.98,80,1,1.99,clear sky
148,Paita,PE,-5.0892,-81.1144,68.14,84,39,13.62,scattered clouds
149,Marechal Deodoro,BR,-9.7103,-35.895,71.01,87,31,5.79,scattered clouds
150,Rio Gallegos,AR,-51.6226,-69.2181,35.58,79,100,13.29,overcast clouds
151,Guasdualito,VE,7.2424,-70.7324,73.76,93,52,1.54,broken clouds
152,Amapa,BR,1.0,-52.0,70.74,98,6,1.77,clear sky
153,Twentynine Palms,US,34.1356,-116.0542,103.71,10,0,8.01,clear sky
154,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,3.44,broken clouds
155,Airai,TL,-8.9266,125.4092,71.31,57,78,0.65,broken clouds
156,East London,ZA,-33.0153,27.9116,69.06,34,16,11.07,few clouds
157,Karratha,AU,-20.7377,116.8463,59.88,49,0,13.04,clear sky
158,Kamaishi,JP,39.2667,141.8833,63.9,94,100,5.55,overcast clouds
159,Hualmay,PE,-11.0964,-77.6139,64.27,84,69,7.49,broken clouds
160,Mago,RU,53.2514,140.1822,77.05,39,78,3.31,broken clouds
161,Bud,US,39.447,-86.1758,68.22,75,100,7.65,overcast clouds
162,Pahalgam,IN,34.0333,75.3333,54.27,67,1,3.49,clear sky
163,Jodiya,IN,22.6925,70.306,87.51,73,33,14.38,scattered clouds
164,Emerald,AU,-23.5333,148.1667,69.35,49,6,14.94,clear sky
165,Lapeer,US,43.0514,-83.3188,63.28,67,40,9.22,scattered clouds
166,Medicine Hat,CA,50.0501,-110.6683,82.85,25,34,1.99,scattered clouds
167,Ancud,CL,-41.8697,-73.8203,46.22,89,100,3.83,overcast clouds
168,Klaksvik,FO,62.2266,-6.589,47.32,84,62,11.97,broken clouds
169,Latung,PH,5.5,120.8833,83.01,71,100,4.25,light rain
